DTXSID,label,predicted_proba,is_error,uncertainty_std,nn_tanimoto_to_train,ad_novelty
DTXSID3022617,0.0,0.064,False,0.24475293665245434,0.34375,0.65625
DTXSID2022626,0.0,0.452,False,0.4976906669810048,0.28,0.72
DTXSID7022629,0.0,0.704,True,0.45649096376598547,0.425,0.575
DTXSID6022630,0.0,0.318,False,0.46569947390994537,0.323943661971831,0.676056338028169
DTXSID0022640,0.0,0.132,False,0.338490767968639,0.47368421052631576,0.5263157894736843
DTXSID3022663,0.0,0.35742857142857143,False,0.47881648310161357,0.4,0.6
DTXSID2022674,0.0,0.11,False,0.3128897569432388,0.5769230769230769,0.42307692307692313
DTXSID7022679,0.0,0.058,False,0.23374344910606712,0.3235294117647059,0.6764705882352942
DTXSID2022707,0.0,0.188,False,0.3907121702737189,0.2631578947368421,0.736842105263158
DTXSID5022724,0.0,0.482,False,0.499675894955923,0.27472527472527475,0.7252747252747253
DTXSID0022727,0.0,0.3895,False,0.4872522447357196,0.6190476190476191,0.38095238095238093
DTXSID3022742,1.0,0.642,False,0.47941214002150556,0.8656716417910447,0.13432835820895528
DTXSID7022752,0.0,0.092,False,0.28902595039200085,0.6056338028169014,0.3943661971830986
DTXSID1022762,0.0,0.152,False,0.3590208907570685,0.42857142857142855,0.5714285714285714
DTXSID4022810,1.0,0.728,False,0.4449898875255473,0.5769230769230769,0.42307692307692313
DTXSID9022817,0.0,0.424,False,0.4941902467673775,0.2708333333333333,0.7291666666666667
DTXSID8022822,0.0,0.192,False,0.393873076002917,0.31666666666666665,0.6833333333333333
DTXSID7022835,0.0,0.29,False,0.45376205218153837,0.39215686274509803,0.607843137254902
DTXSID7022839,0.0,0.544,True,0.4980602373207477,0.27419354838709675,0.7258064516129032
DTXSID1022847,0.0,0.28,False,0.4489988864128737,0.41304347826086957,0.5869565217391304
DTXSID5022855,1.0,0.494,True,0.49996399870390446,0.36666666666666664,0.6333333333333333
DTXSID9022861,0.0,0.152,False,0.3590208907570681,0.5636363636363636,0.4363636363636364
DTXSID4022862,1.0,0.216,True,0.41151427678757235,0.574468085106383,0.42553191489361697
DTXSID4022866,0.0,0.588,True,0.4921950832749128,0.5625,0.4375
DTXSID3022871,0.0,0.088,False,0.2832948993540127,0.5454545454545454,0.4545454545454546
DTXSID2022880,1.0,0.318,True,0.46569947390994537,0.5932203389830508,0.4067796610169492
DTXSID2022888,0.0,0.192,False,0.3938730760029169,0.43283582089552236,0.5671641791044777
DTXSID6022892,0.0,0.278,False,0.44801339265696116,0.2602739726027397,0.7397260273972603
DTXSID6022898,1.0,0.4635,True,0.4982898253025031,0.5409836065573771,0.4590163934426229
DTXSID9022940,0.0,0.438,False,0.4961411089599417,0.35714285714285715,0.6428571428571428
DTXSID3022950,0.0,0.518,True,0.49967589495592313,0.32653061224489793,0.6734693877551021
DTXSID8022955,1.0,0.58,False,0.49355850717012245,0.29508196721311475,0.7049180327868853
DTXSID9022998,0.0,0.646,True,0.4782091592598358,0.7678571428571429,0.2321428571428571
DTXSID5023037,0.0,0.242,False,0.4282942913464995,0.41818181818181815,0.5818181818181818
DTXSID8023050,1.0,0.414,True,0.49254847477177327,0.425,0.575
DTXSID9023097,0.0,0.132,False,0.3384907679686391,0.34375,0.65625
DTXSID6023109,0.0,0.238,False,0.4258591316386224,0.48214285714285715,0.5178571428571428
DTXSID5023110,1.0,0.516,False,0.49974393443042414,0.2765957446808511,0.7234042553191489
DTXSID9023122,0.0,0.404,False,0.4906974628016745,0.20930232558139536,0.7906976744186046
DTXSID4023123,0.0,0.25,False,0.4330127018922193,0.4897959183673469,0.5102040816326531
